city,year,suhi_day_C_mean,suhi_night_C_mean,dEVI_mean,t2m_C_mean,rh_pct_mean,wind10_ms_mean,precip_mm_mean,cloud_frac_mean,blh_m_mean,n_months,n_valid_day,n_valid_night,period
Adelaide,2003,2.045158024023304,0.5270080180722759,-0.052817299464029764,15.326662816074885,65.74730478955681,2.1320900436641153,43.2234664219903,0.42721147627572637,640.630670089526,12,12,12,ANNUAL
Adelaide,2004,2.032500415782709,0.7322485021445752,-0.0521757646971883,15.52379993098024,64.5343917943323,1.9157564665367384,42.04023488333644,0.4552235147106521,639.3272179411709,12,12,12,ANNUAL
Adelaide,2005,2.2224266077405557,0.5193505545775005,-0.04782716555079388,15.740885730254291,64.96119475294178,1.62539098135737,51.03795092826346,0.44754639611709224,622.1460130709828,12,12,12,ANNUAL
Adelaide,2006,2.045268852567692,0.5894895946715704,-0.053092595264846366,15.528390295726863,62.19726240338978,1.5660427970640214,31.624515635323093,0.40690985508137284,609.3196981445776,12,12,12,ANNUAL
Adelaide,2007,1.8919505290779934,0.35188044716805705,-0.054436858759910355,16.340349480822667,62.37417495192431,1.765477978211983,44.26696675870425,0.413436169347124,653.9869757534894,12,12,12,ANNUAL
Adelaide,2008,2.044895415315033,0.8855237410693491,-0.06001014253394663,15.60384909603151,62.77686305875704,1.6489903560538137,39.358875845028145,0.44064335798254023,649.5632688287562,12,12,12,ANNUAL
Adelaide,2009,2.138341699231444,0.6194165232663013,-0.06404299967915679,16.269698919577973,63.87987383435782,1.9741275821695663,44.77445119907953,0.4273063404846234,653.1334974827308,12,12,12,ANNUAL
Adelaide,2010,2.378252150178102,0.6328873734139652,-0.0632962650276664,15.621143759284365,66.84745191313918,1.4490721260043127,52.70598432511735,0.4936460646742939,610.8383575220912,12,12,12,ANNUAL
Adelaide,2011,2.4718370699517282,0.7603499252803602,-0.06330264653240654,15.745826471929497,66.93135665353557,1.5567607663139587,41.53949250420563,0.45691599065070226,585.3919753595361,12,12,12,ANNUAL
Adelaide,2012,2.1541463525335565,0.3833248975606867,-0.05683703952362327,15.672614451515237,64.26618549499652,1.437268577804449,36.152034537309596,0.4475831820989056,637.5080501080656,12,12,12,ANNUAL
Adelaide,2013,2.1070575645383784,0.8685759687452365,-0.06290574574951123,16.355534832452793,64.17650805706757,1.8670763305212619,46.78419243303741,0.4831020189978968,638.1989316256075,12,12,12,ANNUAL
Adelaide,2014,2.052202545961208,0.7648848770497384,-0.05961161112236927,16.186998771355157,64.66902117269473,1.7028929796913193,37.64976119306297,0.4658996932869941,603.9059773756837,12,12,12,ANNUAL
Adelaide,2015,2.0118858351560163,0.5372564777944652,-0.05580284063570192,15.801366387965047,64.29685197403955,1.5620855987385498,31.690534059185563,0.4669424309992353,616.8011388408867,12,12,12,ANNUAL
Adelaide,2016,2.310332733250399,0.614478523431646,-0.06310734865720632,15.592959108985378,67.89610184968856,2.033036386249632,60.61466205167692,0.5125841904900201,642.5575498383266,12,12,12,ANNUAL
Adelaide,2017,2.4765753980304983,0.6565456820048834,-0.061349942342885426,15.969149250205275,65.96152348983664,1.7719491043872797,41.77717665946705,0.46477754503073787,621.440132291619,12,12,12,ANNUAL
Adelaide,2018,2.149706806571365,0.9059655284377387,-0.058534742556976986,16.105211641362956,61.905467970262144,1.7598284046934898,33.39445724936248,0.4658784923523589,655.9078011267285,12,12,12,ANNUAL
Adelaide,2019,2.0183306110761854,0.7787250176896241,-0.060653657622901695,16.02388792312433,61.68085393138633,1.7619729833024387,33.08285797398111,0.44039756449843215,644.6023235313315,12,12,12,ANNUAL
Adelaide,2020,2.253375602551129,0.7915037765916523,-0.056466843652428295,15.255515406103099,66.24869889634606,1.6008234286397203,43.71984567227319,0.5020606357213163,630.6076666454807,12,12,12,ANNUAL
